Designator,Footprint,Quantity,Value,LCSC Part #
18650 BATTERY HOLDER,Battery holder,1,~,
"C1, C15, C16, C17, C18, C2, C3, C4, C5, C6",1206,10,10u,
"C10, C9",0805,2,10 nF,
"C11, C12, C13, C14",CP_Radial_D6.3mm_P2.50mm,4,100u,
"C7, C8",1206,2,1 uF,
"D1, D3",D_SOD-128,2,D_Schottky_Small,
D2,D_SOD-128,1,D_Schottky,
D4,0805,1,Small_LED,
"D5, D6",0805,2,LED_Small,
F1,Surface Mount Fuse Block,1,Fuse_Small,
J1,PinSocket_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,
J3,01x02_header,1,Conn_01x02,
"L1, L2",SRU1048 Inductor,2,"5,4 uH",
"R1, R2, R3, R4",0805,4,R_Small,
"R10, R9",2512,2,0,
"R11, R12, R13",0805,3,10k,
R5,0805,1,"1,6kohm",
R6,0805,1,909 ohm,
"R7, R8",0805,2,1kohm,
SW1,PinSocket_1x02_P2.54mm_Vertical,1,SW_SPDT,
"U1, U2",TO-263-7_TabPin4,2,LM22679TJ-ADJ/NOPB,
