Designator,Mid X,Mid Y,Rotation,Layer
18650 BATTERY HOLDER,16.24,12.905,90.0,top
C1,59.6825,50.15,0.0,bottom
C10,28.7225,59.78,0.0,bottom
C11,58.614879,66.58,0.0,bottom
C12,22.124879,66.47,0.0,bottom
C13,65.9384,67.5332,270.0,bottom
C14,29.4525,67.417621,270.0,bottom
C15,65.5625,62.64,180.0,bottom
C16,35.7125,64.67,0.0,bottom
C17,72.2025,64.78,0.0,bottom
C18,29.0725,62.53,180.0,bottom
C2,23.2125,44.8,0.0,bottom
C3,59.7025,44.91,0.0,bottom
C4,23.2125,47.41,0.0,bottom
C5,59.7025,47.52,0.0,bottom
C6,23.1925,50.04,0.0,bottom
C7,75.2725,53.95,90.0,bottom
C8,38.7825,53.84,90.0,bottom
C9,65.2125,59.89,0.0,bottom
D1,55.0325,48.1675,270.0,bottom
D2,18.5425,48.0575,270.0,bottom
D3,54.9656,75.27,270.0,bottom
D4,7.3875,15.62,180.0,bottom
D5,7.3625,35.21,180.0,bottom
D6,7.3525,25.24,180.0,bottom
F1,66.564,11.1785,0.0,top
J1,33.885,91.675,90.0,top
J3,18.074,-1.7035,180.0,top
L1,62.3305,57.457,90.0,bottom
L2,25.8405,57.347,90.0,bottom
R1,66.7512,82.0928,0.0,bottom
R11,7.365,13.37,180.0,bottom
R12,7.34,33.03,180.0,bottom
R13,7.33,22.74,180.0,bottom
R2,62.484,82.0928,0.0,bottom
R3,69.1525,59.85,0.0,bottom
R4,32.6625,59.74,0.0,bottom
R5,71.6925,62.19,0.0,bottom
R6,35.2025,62.08,0.0,bottom
R7,74.4525,59.82,180.0,bottom
R8,37.9625,59.71,180.0,bottom
SW1,28.77,4.6565,90.0,top
U1,68.18,48.23,270.0,bottom
U2,31.69,48.12,270.0,bottom
